,date,dayofweek
0,2017-01-01,Sunday
1,2017-01-02,Monday
2,2017-01-03,Tuesday
3,2017-01-04,Wednesday
4,2017-01-05,Thursday
5,2017-01-06,Friday
6,2017-01-07,Saturday
