Date,Coronavirus,NovelCoronavirus
1/14/20,720,0
1/15/20,479,0
1/16/20,1922,0
1/17/20,5781,0
1/18/20,5538,0
1/19/20,9863,0
1/20/20,38368,0
1/21/20,47690,0
1/22/20,65338,0
1/23/20,74092,0
1/24/20,144055,0
1/25/20,154598,1901
1/26/20,137454,25255
1/27/20,115875,35954
1/28/20,290130,56280
1/29/20,151775,44875
1/30/20,106568,42196
1/31/20,99382,50221
2/1/20,54184,34003
2/2/20,57850,41137
2/3/20,40775,43754
