Date,Coronavirus,NovelCoronavirus
1/14/20,4991,0
1/15/20,4203,0
1/16/20,11822,0
1/17/20,15099,0
1/18/20,28342,0
1/19/20,22114,598
1/20/20,143234,8632
1/21/20,359475,53988
1/22/20,420234,54949
1/23/20,634208,100676
1/24/20,895340,380514
1/25/20,972568,472067
1/26/20,952924,553685
1/27/20,982596,590160
1/28/20,894952,624692
1/29/20,713857,521213
1/30/20,647827,583287
1/31/20,699130,636494
2/1/20,339596,428395
2/2/20,279889,424254
2/3/20,246370,426662
