Date,US,Germany
1/21/20,1,
1/22/20,1,
1/23/20,1,
1/24/20,2,
1/25/20,2,
1/26/20,5,
1/27/20,5,1
1/28/20,5,4
1/29/20,5,4
1/30/20,5,4
1/31/20,7,7
2/1/20,7,7
2/2/20,9,10
2/3/20,9,10
